type	raw	value	context
json_missing_in_tex	724		database.n_unique_formulas
json_missing_in_tex	3.8		ablation.table.no_fewshot.hard_std
json_missing_in_tex	1.330380250408325e-12		ablation.table.no_fewshot.p_value
json_missing_in_tex	7.98228150244995e-12		ablation.table.no_fewshot.p_value_holm
json_missing_in_tex	16.122196620583715		ablation.table.no_fewshot.stats_v2.delta_pp
json_missing_in_tex	4.9999750001249995e-06		ablation.table.no_fewshot.stats_v2.p_exact_sign_flip
json_missing_in_tex	5.551115123125783e-17		ablation.table.no_fewshot.stats_v2.min_attainable_p
json_missing_in_tex	0.9253246753246753		ablation.table.no_fewshot.stats_v2.rank_biserial
json_missing_in_tex	11.205259941969619		ablation.table.no_fewshot.stats_v2.bootstrap_ci95_pp[0]
json_missing_in_tex	21.101587301587298		ablation.table.no_fewshot.stats_v2.bootstrap_ci95_pp[1]
json_missing_in_tex	20260602		ablation.table.no_fewshot.stats_v2.seed;ablation.table.no_dict.stats_v2.seed;ablation.table.no_reranker.stats_v2.seed;ablation.table.no_guard.stats_v2.seed;ablation.table.no_nbest.stats_v2.seed
json_missing_in_tex	9.918212890625e-05		ablation.table.no_dict.p_value
json_missing_in_tex	0.00049591064453125		ablation.table.no_dict.p_value_holm
json_missing_in_tex	9.782284997814951		ablation.table.no_dict.stats_v2.delta_pp
json_missing_in_tex	0.0001201629638671875		ablation.table.no_dict.stats_v2.p_exact_sign_flip
json_missing_in_tex	1.9073486328125e-06		ablation.table.no_dict.stats_v2.min_attainable_p
json_missing_in_tex	0.8952380952380953		ablation.table.no_dict.stats_v2.rank_biserial
json_missing_in_tex	4.710736211688976		ablation.table.no_dict.stats_v2.bootstrap_ci95_pp[0]
json_missing_in_tex	15.513659522121502		ablation.table.no_dict.stats_v2.bootstrap_ci95_pp[1]
json_missing_in_tex	0.01953125		ablation.table.no_reranker.p_value
json_missing_in_tex	0.078125		ablation.table.no_reranker.p_value_holm
json_missing_in_tex	6.191358133141957		ablation.table.no_reranker.stats_v2.delta_pp
